2-gram	*/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	2/1:2	3/1:2	3/2:3	4/1:2	4/2:3	4/3:4	5/1:2	5/2:3	5/3:4	5/4:5	6/1:2	6/2:3	6/3:4	6/4:5	6/5:6	7/1:2	7/2:3	7/3:4	7/4:5	7/5:6	7/6:7	8/1:2	8/2:3	8/3:4	8/4:5	8/5:6	8/6:7	8/7:8	9/1:2	9/2:3	9/3:4	9/4:5	9/5:6	9/6:7	9/7:8	9/8:9	*/1:2	*/2:3	*/3:4	*/4:5	*/5:6	*/6:7	*/7:8	*/8:9	*/9:10	*/-9:-8	*/-8:-7	*/-7:-6	*/-6:-5	*/-5:-4	*/-4:-3	*/-3:-2	*/-2:-1
TH	100272945963	15854089	53177359897	23949239953	10166172783	4107012905	3754299810	1790488884	1380226565	15854089	53167751846	9608051	18044771797	1725871	5902742285	7078145320	1406474721	53377435	1628175307	1209000757	349826121	1642342391	263054507	642789129	1250352438	37014992	959853153	1294987181	93182613	118909433	442406297	29429664	469804474	438746418	242221830	36471102	131409099	402351176	93750120	285288598	151853732	271257570	20034734	33762010	121928625	82191954206	1944903553	9682689029	3979355614	1390538478	432554002	280104975	177968126	140557449	573953638	752170028	1778248099	2011264965	9235458296	22750054610	53677948758	8729279970
HE	86697336727	4110457083	56167425979	7487800614	8247494280	2719341376	3092031031	1611303288	1249842476	4110457083	1661218025	54506207954	1330715873	6151778646	5306095	680137544	6118844352	1420436290	28076094	544088586	369680800	386297113	1390608008	28666869	396157179	665438649	61247823	164941940	1787800550	16444890	134732957	290569372	97334046	89360702	390863420	590993165	17449626	91186442	411975212	160907774	117316290	112760804	103711433	237907680	14076841	9112438473	68972918222	2171031656	1914128950	2475548756	889078255	524475712	280061308	228439811	474181923	637367387	1028372154	1626225640	1465752930	8660339480	13736813355	58739545490
IN	68595215308	16891065263	233215898	3519540510	4911626166	6279226557	9017989465	8848541116	7458869052	16891065263	71558880	161657018	1203450210	1735261629	580828671	314819140	1064081883	2669872923	862852220	793882011	734441456	791366942	3040850442	918685706	807997325	777026014	534373296	788790882	5387070679	722731269	1760525899	415495035	505178267	789741924	1341879947	3812122414	223597630	1760568699	236766437	282212247	321171979	768630257	463709545	3534393058	91416830	27799770674	5296303799	5688289144	6410682040	9482572675	5372281267	4431143273	2232706734	1044312202	2098595873	2422647138	2424865755	3014423080	3703209589	6155529794	23738997749	20517043744
ER	57754162106	13948619	2085608759	4913853258	9632156591	8699854353	9873594053	6928160475	5705429313	13948619	46312231	2039296528	25862513	3832530935	1055459810	84369746	538027492	2859177339	6150582014	58645732	1388590833	281823470	1391367649	5579426669	46625581	1787789888	730637244	1730685689	2017125920	3560729731	18805989	755255247	788470369	1817303666	838946442	936591444	1772787318	15300277	687335868	732485962	1442190355	1175313839	229237772	724400263	699164977	324230831	12015666159	6902330570	16275688277	11313569674	5263189303	3396711679	1443367114	409002627	1073199959	2259069724	3876308101	5513597469	5673627954	4122631972	12461395218	21335726334
AN	55974567611	2726250863	26189175821	3758324551	3018762826	3116632811	4307660041	4361010572	3220633279	2726250863	23665563241	2523612580	126537229	1947021864	1684765458	179267222	761025679	1013707277	1064762648	452922188	893574552	831512603	453200393	485423075	911661551	564036951	782182907	517786216	1079846539	452145877	566093429	552644499	674724026	533138976	565950917	657911870	810546855	198426406	281327507	297780689	416587529	459889271	454143614	728498872	383979391	29085241508	8053927703	6068147150	3454677511	2920903962	1880911935	2269296835	1323689281	666546831	1008195054	1265738355	1992612004	2612966569	3314840026	4317537968	30169288958	10406064820
RE	52285662239	77257723	3953279623	6283733777	5429031721	6623850950	7207268486	8136157194	6113857348	77257723	181840961	3771438662	568964814	661326401	5053442562	409683118	1543877982	800779945	2674690676	2261280500	722909373	996147286	681726360	1961787431	2509324286	1281778045	703853690	778090301	955653986	978568178	2943957447	1135756277	576493472	328517993	778498946	1940007491	432925568	1779645036	990379282	491309180	1036730495	263091316	455269460	342528090	754904489	13676064272	11003540527	9023474023	6783532049	4594786033	4027371865	989245531	1323627045	348880988	2598689000	4534344417	5097148244	5693279649	2759445944	5227603933	6263391417	16291780775
ON	49570981965	4594521081	2636883110	3660711241	1926889771	3906860970	3750385566	5333117622	5416467249	4594521081	2158119252	478763858	1507123905	1269731948	883855388	20171526	550143828	996784094	359790323	25364613	750502655	104519275	810681630	2215792797	40989599	1145332988	168916754	183679884	850668275	1360798066	8179963	1373644605	278811451	249545817	772849387	447317295	2202769104	3941923	1262127534	123523678	178497727	330779461	224597929	862681722	2430317275	8364400586	10595778214	2673224041	2156297853	4782672895	2432012025	3737750672	3602103031	4343230798	1747308872	1559647742	1988068754	2313743093	1907237723	4424394747	10074641775	23071398583
AT	41920838452	3413452256	269954932	10535138357	2771650333	3023323315	2579212315	3563083398	3712972718	3413452256	27017439	242937493	19936662	975703028	9539498667	36600525	1143684552	952476100	638889156	167038606	1645131925	692407138	381278752	137466894	155885367	867903114	364024792	783293235	372523463	35582344	289894989	997776760	298319074	900133840	451661950	539015504	86281281	292045441	418530096	213285511	472141877	1114916586	708469427	481388914	12194866	4632096352	6712093169	12267173758	3611860596	2588675559	3201850426	4414561503	1778506005	1647481402	634163526	964710928	2044023250	3442640883	10521023347	5171876855	4386525726	14121563078
EN	41004903554	66416081	996544862	6061180404	2980289637	4127166516	6106471048	4726898241	5301426281	66416081	330047632	666497230	61758346	808672628	5190749430	253329828	644731995	372009903	1710217911	655235538	916687599	737669654	932210542	885363183	718537108	1508046823	208014786	993079452	1537425862	1141367017	421887172	435985146	279353798	766694355	1429798280	807359968	585819522	215599586	631940250	149903667	978034899	602157620	929756158	1655771647	138262454	3379510331	6113945816	7176276787	6110731853	5279462809	3719026937	4376886954	2661764759	1622475774	729792035	1831138333	1969269666	4446516212	4173664323	6949237344	9336962978	10489657878
ND	38129777631	4896139	23008348378	1648222228	2336263069	2670557112	1862756429	1698401494	1458421959	4896139	1980145	23006368233	102370	62965177	1585154681	0	801502663	549056595	985703811	0	346841953	676771494	227381968	1419561697	257792	184108912	563309025	215506947	371386364	528187389	0	271136430	353193590	335365780	395073603	73533782	270098309	0	247413973	377767970	155693578	304668789	205284690	91509732	76083227	7236446	26286370666	4581934302	2137654294	2688740808	983295449	660369647	209846338	484603955	856393126	683472327	864503056	963587939	2011962416	2414884462	1452250968	28144529726
TI	37856196209	7752420	77719775	1439533182	1305258055	1522929096	3056903597	5256275127	6079300773	7752420	74091519	3628256	1368776708	14498459	56258015	420750620	449126080	405805869	29575486	152466533	23264033	1129397610	211565572	6235348	77016062	61923199	682721913	2059182976	168556439	7503008	24436819	62354471	1090726237	737608464	2987775486	344647109	8726541	14596411	42389236	278210737	802760168	1396095815	3326916772	213876743	4454891	2147768486	729854569	4267079242	5305758766	5833482656	5358890579	4864511827	4642741776	2308206739	603120236	1316447200	1562976560	3778798948	6240302868	21740685573	1901665937	133432308
ES	37766388079	16349409	298963925	2117762805	5215437061	4756509189	5735613022	5765609778	5459598131	16349409	40701009	258262916	12181153	1070562846	1035018806	39720010	192807397	1734040650	3248869004	148813530	718206384	81843151	556291893	3251354231	72567088	1110694312	463052717	127280329	1163081864	2798936712	71050613	892652548	593469175	249105700	97394164	1249038649	2612898929	208088232	783689471	455651050	480108648	750999026	145003402	335548419	2300509883	1051204378	6079851789	4628883791	5132650787	6672647150	4664533498	3094197149	2509683363	2081767079	793052153	1291106417	1921719170	3302639927	2472900314	736077168	6665033518	19063951871
OR	35994097756	3667713965	6775252202	3984225866	3898537988	3980627353	3326827899	2804825205	2936407845	3667713965	24146377	6751105825	39889754	3692282067	252054045	402929145	2071329797	611480708	812798338	217427146	1267867652	300810276	1582109585	612412694	160575028	1239780636	226364042	421600634	1104699291	173808268	289142704	599365849	134461894	745524718	234140267	272708956	529480817	122935473	491042206	55511772	766081082	472888825	72718773	720832511	234397203	5312508408	16755525852	1725377102	5397209902	3217903758	806922356	1677139470	563420219	293728332	518193793	1606696972	1556157582	2846485515	3496717991	3245255237	8526236391	13226810542
TE	33973261529	10838560	194512890	1666811615	4842819126	4283878320	4933266661	5056651705	5261806002	10838560	175906127	18606763	678248943	151299811	837262861	538316381	255463565	2527806375	1521232805	219390032	64596869	398600710	3164837195	436453514	316419215	137843698	340827145	1272614747	2316792669	548769187	355764809	77428890	1091815966	495981049	387109440	1722342138	926209413	374710291	30156019	1091359164	515486783	240609830	221706786	2147352894	640424235	3205516541	773311093	8215997713	7459292258	3792256092	2813882160	3855673433	1818590938	1113790590	1088435932	1185783282	2006845513	2342934011	1975694641	3988290195	14208737085	5708748453
OF	33130341561	30966074232	310959797	84711367	465474885	329700686	299869244	277665360	181419129	30966074232	308201388	2758409	2951086	53723238	28037043	397278149	10943818	12003516	45249402	214002142	53030698	45660229	15273670	1733947	186440685	11306698	63266857	7828988	3666984	27359032	186704586	44724238	38051951	1806574	1199257	4872580	306174	83679378	4268611	73302332	1829874	2885733	4748710	9638076	1066415	32360430348	182161978	432109978	75473512	17774607	46614620	11759675	1640659	1773868	100264690	259990287	307284294	268272125	526572298	73975000	407970198	31074083103
ED	32937140633	97120955	409217737	1196852660	2168978605	5740217506	6135046957	6936130631	5444248140	97120955	38147431	371070306	73212793	28986082	1094653785	50892239	105077085	178849576	1834159705	129837414	165765551	216581939	62016505	5166016097	98122033	370245773	83262511	104703180	52904904	5425808556	42673324	168576015	63948576	123158557	44734287	49910071	6443129801	252375455	150845597	77464239	105566070	136604260	279328111	4192269	4437872139	849587935	1506623480	1832066856	2388332822	5544719808	5851349720	6537696394	4523074181	2139853173	404818418	356160730	444992316	848999959	625593976	926074278	417331703	28748620492
IS	31817918249	8384246685	3687379343	4519465061	970761245	1786384856	2217451434	2455646777	2514700266	8384246685	23858128	3663521215	21658132	594909616	3902897313	137543826	177062479	287201401	368953539	278170396	587444170	288348313	442817702	189604275	84733729	909598349	178851683	189072002	776433621	78762050	57946085	709541670	175746533	621873504	204394853	379159149	306984983	32293604	594714810	188492428	449241384	416249640	217865053	484940551	130902796	9031299344	8776117187	5077645332	2727306590	2273411611	1184381376	1446528336	563573940	312741839	1034045875	947689188	1628935890	2401762442	2588793625	1491055688	3498564343	17200177590
IT	31672532308	5740085369	1646443628	5908112867	1548002656	2705721648	3009035602	2965868961	2838782816	5740085369	1381186154	265257474	38098887	5623113348	246900632	97414738	268669841	883085553	298832524	231191335	1239069071	543791794	328377059	363292389	46196744	715202598	922210392	455411441	637366756	232647671	9888439	260843204	291443086	1037204651	118662926	1180825708	67000947	7727036	230789026	175901593	499333770	928099796	161020965	825830330	10080300	7555018907	8850162530	3208495798	3110392070	2906779819	2708351054	1610971060	720751471	588060634	387690576	624048305	1292749796	2400833983	5682566380	1733873399	12194813332	7230110535
AL	30662410438	189349849	2133186101	2700520953	3748569358	3956524088	4907870418	4018293130	2993883132	189349849	2092676452	40509649	1105212984	1104342028	490965941	620778156	755911429	999653501	1372226272	712134292	953267381	479328624	301160772	1510633019	449022917	485517034	568064734	547971477	268135946	2589158310	429356867	243719096	377405792	212608908	299617358	175851345	2279733764	165801385	174426811	210616828	103856248	208265679	505939684	300064772	1324911725	6003034247	4020651610	3340777452	2642310613	2418244731	3654895489	3185903452	1604727225	1573012882	484524676	781748967	1067569323	1903966508	3022907148	4664848401	5434740650	12898601661
AR	30308513014	8352013	4784458752	3185174173	4137482415	3504241934	4728335975	3481426161	2485085603	8352013	3950714518	833744234	525514877	1700397198	959262098	327888262	1766950737	1711360317	331283099	548926779	1472360755	642508821	571874687	268570892	328405073	1771317234	756840291	422879383	975464297	473429697	290497829	904963357	363602721	345110817	617966219	761759140	197526078	164668175	613938480	322685694	227016146	253814446	205425404	611404424	86132834	6424875618	9952889722	5105163238	2359872689	2570995699	1644143902	1113941374	324050700	511730356	699018647	1141774760	2120963807	3237661706	3531863398	4416446717	10749602125	3461098697
ST	29704461829	36574130	53189375	4277057915	4483636360	3794954342	3878013743	3791855272	3003083533	36574130	13329973	39859402	303508512	8141933	3965407470	2530302990	11192298	363929657	1578211415	1626532179	86120258	1079696872	117143431	885461602	1089585350	29682051	1374774459	285403486	170665080	927903317	1079065910	55035833	775133016	528143960	607788714	162825675	583862164	611156200	138422615	677708739	385034721	469621570	290901790	159483218	270754680	7859239625	639929231	9684562553	3702572699	3124978121	2309132160	1390150423	494094050	187120413	1549398933	2403041586	2415386591	3590796578	5663387543	2937930592	1188657178	8449760792
TO	29360205581	19347398077	571294577	2092464323	1251290835	1150854888	1459576319	1013114366	837700174	19347398077	563750994	7543583	753071978	85506168	1253886177	598381315	494746261	86934482	71228777	269211911	144276694	47806093	642743702	46816488	297073867	176280720	119759034	636020931	195288751	35153016	308854776	27251390	66818311	185418644	151009674	242520823	31240748	46421058	20413350	67427376	171733477	56113533	304231362	160057227	11302791	22226470501	980661160	1818039174	2012146639	547945206	705312079	469130269	352783422	138245244	140951724	504058100	608198365	836255315	1156998297	2879522625	2272151149	20810977200
NT	29359771944	5681846	29484784	2137351423	1766055265	2373043547	4062705595	3868462691	4928514135	5681846	3800670	25684114	931115	1270673433	865746875	0	406962242	242009820	1117083203	0	192430247	676431404	656382656	847799240	0	212671709	1152477163	642086901	314977623	1740492199	0	754353462	580603825	488307044	278588368	703978317	1062631675	0	492791951	613565803	297873808	631747454	406328037	375691959	2110515123	10413631	5025299165	4995010800	3661126311	2531642052	3534481193	1997292028	3157208829	2512923995	727912835	1197235725	2078506928	1537352714	3100034815	3340278754	4755487038	10945239736
NG	26871805511	4958062	29310324	1000707555	2802898292	4070479616	6042863360	4633979993	3813272223	4958062	3294736	26015588	3650423	5763633	991293499	687617	127694669	273551093	2400964913	1193143	109565213	637832963	628105933	2693782364	0	469761620	273722764	321274997	173251183	4804852796	0	46773567	365807154	120233200	256762313	439608591	3404795168	0	51836874	137600755	22210060	110419119	109222270	170189657	3211793488	13783981	945317494	2828932847	3522989083	3394158128	5692776068	3659926259	3325000536	1825900796	91421737	223092615	279297365	963977044	851894227	1637710119	1811551167	20874734196
SE	26282488562	30523166	1952013638	2592331548	5026948064	3839988853	4783018902	3135032627	2508836714	30523166	1409813457	542200181	1042063928	624022357	926245263	675778541	30967449	643903653	3676298421	1416239070	85748292	572783698	1122486604	642731189	1352351888	15996266	314489868	946144948	691051290	1462984642	818400983	2705788	607179803	188673704	119511918	677029977	721530454	586369317	1752013	277150195	369038222	13107428	120931892	941560837	198926810	7674775084	1314872542	3699602593	6881326238	1755082918	2571202585	1695890730	384140890	220865323	1064320997	1069186960	1913061068	2763504261	1371489623	2859013058	6368273122	8369347696
HA	26103411208	17285954	4317107289	14204506110	1329461652	1525468287	1756658782	1163777926	733826315	17285954	4307508937	9598352	3702613035	10497766649	4126426	403967790	882716319	16001296	26776247	658901764	728431604	52611504	55815793	29707622	320327317	971980927	73371461	325293544	60946970	4738563	280764723	347074790	151608581	161411033	118718682	100706137	3493980	122427415	244043524	80548524	126391648	114243670	30391113	14552640	1227781	9900759288	14100984015	489815305	870340223	410166954	177560805	71384268	41220109	24963538	339794948	601196125	898558145	1981655204	1529038171	5151618972	15090830056	98720353
AS	24561944198	5700645258	7389850693	1859332544	2346123339	1588427920	1557132542	1408871428	944813620	5700645258	118982557	7270868136	65001284	1731155843	63175417	282924776	926873217	806450715	329874631	293906341	631246185	358428217	139372165	165475012	223862872	467225655	436761741	100331443	202723717	126227114	198294594	185867285	226775558	249381664	139796580	330731648	78024099	164412548	90934265	127885909	108581131	71918184	268783445	75338985	36959153	7620135116	11545573369	2275728318	1088966859	682685011	933070002	232717250	129456493	28422816	431895663	459129491	696032170	1203561701	1865715646	1895234795	3458525800	13791305283
OU	24531132241	10653915	4272910155	1379522986	6300222664	3553583990	3950718893	1686720243	1419972181	10653915	1925494038	2347416117	18724600	1309797729	51000657	94232070	4738435274	1464417956	3137364	98967316	1101075878	2059007138	293211961	1321697	226163427	1176979586	650509564	871326095	1023785768	1954453	84388437	488242230	239401152	146979592	405711883	321367259	629690	70149707	378589738	82144079	239197185	173192041	31440994	444743636	514801	2564517637	11860369004	4596082031	1862959906	1793591370	449385180	703835161	426409983	152438203	288650233	575966519	1139223830	1881489109	2406061174	8260929300	7358285336	2416977627
IO	23542263265	4641680	45781841	114203783	387922345	1053607060	1895464066	3074428509	3662304271	4641680	24118208	21663633	29623771	52854745	31725267	5871612	36773713	218471532	126805488	9109384	27513128	48282251	940940221	27762076	2685332	101965798	5852635	741924962	1007533675	35501664	1550820	81796489	28790867	374267309	421478106	2146295705	20249213	294507	46442671	6174931	147495779	167482536	1002319163	2278243840	13850844	83433285	456757896	357905803	2511890329	1872666988	3844425651	3428359478	4122223235	3390525288	130136417	364252500	399055078	700761441	1593641436	5029708092	14933384416	285946276
LE	23382173640	75050930	473044334	1860032620	3479658832	4969286665	3647853818	3156726353	2361956488	75050930	462933297	10111037	915474140	71145091	873413389	877422382	396899117	584534599	1620802734	680926091	174956074	267963201	1304638125	2540803174	602255352	378869464	191120270	450502772	1152291920	872814040	189769395	485161730	261488526	182415816	502093253	662485105	873312528	40396714	191847574	305199486	205291031	365917298	243979409	392837750	616487226	4043542193	1913017702	2675302134	4195241815	5006351107	1957527938	1478967145	872882908	634833160	254127173	673799829	1819353736	1874385054	1898382454	2992153548	4890609169	8595707335
VE	23270129573	14231385	36002033	6418853753	3310701583	1802759920	2732125593	2611229531	1776532776	14231385	13701741	22300292	815221002	1618904108	3984728643	93679079	476432108	1905179128	835411268	191597583	133414315	340749226	807901794	329097002	185992340	254596259	644161417	233017973	892713861	521643743	154684875	208485388	568839351	146289024	79483614	1052062167	401385112	66807194	76147151	440215391	190567886	59097090	96462152	206926692	640309220	1640092150	3068792708	9169550919	2872981401	1416719318	1976581590	746271559	1090150319	485933706	849319993	911765804	1420244462	1413961856	1175608438	2340730695	6934202772	7786356890
CO	22384167777	83487330	91535498	1049086572	1922854215	2435977035	3395471836	2916096083	3172220325	83487330	87238704	4296794	1023867492	10646452	14572628	1759238384	107014437	40719224	15882170	1455696631	49386126	820408168	42046066	68440044	2672555596	103410883	432871712	135963572	18962819	31707254	2224994807	273461642	253244935	86345175	55002665	17361911	5684948	2457238998	62252366	451096509	123894166	13765511	30684978	3269307	30018490	17720707392	662214578	2902669372	603094195	215106820	152749336	65402093	43181508	13377512	2818478477	2601721260	3524047320	1991826830	2374341291	2203150805	223226762	254733046
ME	22360109325	819570654	596504041	4744200952	1873407026	2552426152	2135425896	2347059317	2505303249	819570654	588558812	7945229	419576374	17847918	4306776660	569046754	28330341	1052351640	223678291	771617198	23925769	259421322	659548205	837913658	924309133	196650137	175607527	240942608	400305015	197611476	470577364	363291860	398510904	321324893	407020246	257341919	128992131	324219916	122946109	559495499	116435564	241329196	746248244	346059774	48568947	5325149689	781927443	6985984569	1806448041	2030348536	1658957192	2200773950	1167712575	187556946	614029039	724979759	2117251531	1867584930	2060587178	4414502593	3448675398	6598626284
DE	21565300071	424296592	250559179	2005262681	2727533436	2945814184	3067219425	3359025339	2454895380	424296592	244085452	6473727	515344943	164165925	1325751813	506760936	152134420	1619598202	449039878	1103030830	16177557	519573466	1065899905	241132426	1339936513	9686867	220245691	406850874	581694279	508805201	1033336303	163449819	148841159	590133770	144246659	1085717953	193299676	1132153639	35317516	120774315	200852085	116169635	316517869	403061158	130049163	8183007142	701125012	4693235007	2954715904	1161969151	2552338876	689014623	392685652	124085574	1441618530	1519868302	1996308752	1593931549	1869347106	2233592110	5342215111	3333011907
HI	21520845924	15453893	4871157781	4529738684	5204828557	1401776225	1633952989	1300113918	792983228	15453893	4854984557	16173224	517689370	4010637700	1411614	93127036	5081242300	10319787	20139434	325648037	520615511	159911240	382955159	12646278	693097632	314490902	113823751	423209819	79304420	10026465	80435995	555660118	86416518	90308478	454737217	30742089	1813503	79969235	123092968	42528708	58425468	29076753	419122303	37839978	2927815	6832412743	10869916458	511041144	1211371013	643745835	485675023	245921291	243914053	159225476	260937383	294759258	1463480387	827795122	943566773	7435440934	9843559423	81968854
RI	20516398905	3790835	63838796	535087227	2167806453	3072316368	3371697228	3227389764	3120679355	3790835	43252802	20585994	375837847	129031637	30217743	695505812	1155518744	298606683	18175214	312066476	909984794	1556542178	280043754	13679166	130268365	1323029972	814602503	950667729	147203208	5925451	55158368	670170568	316827622	681770904	1288429813	195909375	19123114	21619449	494830092	389944834	400475027	628477122	1135873211	47731175	1728445	1674573752	5135905227	3879992518	2656411640	3396484240	1913887105	869343912	472211008	352143628	558676974	1215427182	1950409908	3049293374	4352392802	7595888689	1242357829	116352222
RO	20491179118	3553115	123325943	4568732455	2097023419	2269338674	3570351190	2937296606	1354917214	3553115	88102816	35223127	772916113	3712535576	83280766	542920995	1314740735	155377622	83984067	245447834	1160356228	630892191	201280227	31362194	178859266	2056355506	769242693	192647518	354620484	18625723	107014640	1842627341	282375116	370907705	256111645	72901702	5358457	72545790	776682376	88689964	180393305	83409405	131497518	17969837	3729019	2039254483	12454757369	2209122302	1921284598	1156812456	473307815	139544412	45865543	32487028	1339732401	1360320336	2570931204	2955080579	3096614103	3377605284	4620724317	269843140
IC	19701195496	4187251	77721514	319752168	4057542506	1882307622	2413742083	3366358964	2199450528	4187251	58803555	18917959	9827639	288545317	21379212	5058827	56410501	3610019574	386053604	2133570	177259960	143498466	921633466	637782160	5562333	374501575	197938683	738533650	657066221	440139621	779912	190263124	52130315	553824000	1035251351	489875355	1044234907	1473437	89955985	51465827	376282131	447535101	681769781	200256791	350711475	92018229	1336334675	4098427438	3413457339	4075772047	2119578678	2308429100	853738065	611417156	239894045	668103967	1156079253	2030591183	1799740350	3528636043	6449906843	3712421267
NE	19504235770	18465842	3327661540	2267545112	1909872226	2037922379	2537320880	2535140534	2205397950	18465842	1154799526	2172862014	807229371	234931933	1225383808	610583241	95512704	698956579	504819702	354560993	167879344	192710730	939792932	382978380	319583640	60635122	700056223	361925956	594129133	500990806	169158892	35645478	196682079	102985410	609009936	1042899994	378758745	367621444	31320233	263909544	182425510	62089350	437384479	538310353	322337037	4170065476	2981193688	3588454911	2265096487	1825228904	2126097168	1108372607	791737743	297003760	575313679	456823204	863651434	914523439	1833065326	2965517392	5707093837	5680400975
EA	19403941063	3817681	245499171	3691838497	4601929122	2529703811	3534906939	2490323394	1118214686	3817681	74234021	171265150	899656855	2418013772	374167870	436380528	2647798868	1490419042	27330684	172232995	1461968774	393209000	473666526	28626516	208983748	1683442986	716947922	614696821	299879218	10956244	56715817	896468905	599833278	529048559	209047292	189572602	9636941	14374988	307295647	305731763	119596534	260014977	45158464	60724321	5317992	1883649717	9923762241	3965293772	2003172136	1020824402	303749877	145624572	106946238	20051933	235603204	542218352	1589342896	2761408343	3502038394	4857707989	5087364436	633940531
RA	19332539912	6855399	196947048	814347541	2027988458	1833762639	3257149814	2522742858	2661096683	6855399	148863856	48083192	488148946	259727423	66471172	521421613	1118050841	255378319	133137685	629970290	741843878	273754522	105608121	82585828	255766741	656842453	265494370	512687954	1493433277	72925019	136567816	726042990	375289851	252104887	788054428	223567687	21115199	74532303	601415384	181806877	577733208	789100823	345408133	72641702	18458253	2338918757	5055336899	1688239339	2230218283	4167130544	1833809451	715638641	844075686	297370606	461280655	1116903210	1887611124	4089290521	3544022110	3870558597	2773411641	463224289
CE	18367773425	13449391	62025008	893684634	2181191712	2448930164	3307343486	2676607127	2620307057	13449391	13727287	48297721	233993305	3070088	656621241	170202354	97884656	109284556	1803820146	246706469	36137042	442829875	662121592	1061135186	689218554	27411479	150065300	775501479	479416876	1185729798	91511862	10666431	471369501	207801165	174050919	597346607	1123860642	193409296	9145837	570780584	502383727	44883144	28175439	394817349	876711681	1787953760	242762205	2726559414	4744595417	1834944127	1957407538	1625815534	1274762749	1299731066	410090991	417843360	1841332890	1409674558	672982122	1805368350	3004468822	8502746029
LI	17604626629	15473760	113084325	2066801270	1188214318	2438998427	2894941756	2623147946	2092962959	15473760	97464908	15619417	1988676841	61438072	16686357	747570387	273319304	156595817	10728810	1063486514	208348469	627386298	526619223	13157923	435066833	153906069	363870876	1836794777	71906405	33396796	233430101	183514473	756215943	440005117	829616953	174320507	6044852	197512519	94017616	592733084	404378503	163948757	551034377	86332492	3005611	5085286521	1064627489	2875971696	3967311060	1509350842	1340416489	795852866	539636783	119418289	537819702	1083705341	1707297394	3026267190	2245600667	7183810603	1223576588	118468787
CH	16854985236	21985377	39705270	2587751882	4557044176	2303712467	2136436540	2178484729	1207018371	21985377	26812952	12892318	102600071	13354359	2471797452	764375993	6171232	39747757	3746749194	1086732511	362112324	118651324	32985574	703230734	1161476884	200989967	219438883	450808739	26782023	76940044	761850805	129766972	220473731	368641267	277309299	34612758	385829897	479087669	70920821	277592754	145828608	129410762	49843825	32562900	21771032	4942607276	900353578	3754228285	5058239891	1230468219	273705448	602173764	60990752	18561831	580483954	1190269029	1743245599	1745169827	1944597922	1127390517	219062087	7452285239
LL	16257360474	20185551	2127534657	3690118966	2068825327	1508427896	1985258396	1141400957	1497834860	20185551	4492431	2123042226	920213	24467347	3664731406	11707901	145083185	665094048	1246940193	926792	93829532	1045974104	286185809	81511659	0	175736781	1029735287	155848621	474609542	149328165	740252	116226513	370840472	94425294	148286606	277054283	133827537	715845	66860602	495897441	87872149	185390471	105056230	516856100	39186022	39688985	2954831936	7580649633	1929731863	1133202554	636535294	822192032	496353244	225925886	154930379	420170273	729245071	722696516	1527652962	1720189835	3305779894	7472584181
BE	16249257887	4818864785	141571127	2231055618	1423861707	2796921300	2679219337	919948835	779231353	4818864785	134087658	7483469	2144324294	22524182	64207142	1193475825	5146568	133298999	91940315	1958010689	6221088	151472039	670137197	11080287	2036366650	10960642	131276576	347628547	147713181	5273741	439704147	12470575	52391831	42798605	52379827	266673568	53530282	333448521	15875511	51661236	19396639	10974927	76830498	262675111	8368910	13192202949	86059841	662559125	1220541194	277677401	416324647	333157049	46180261	10194820	352692618	533559597	2164057487	2075891665	1430684117	2796886364	1676470047	5062089621
MA	15938689768	26974783	2056125019	2671264781	1899347434	2426172159	1991699309	1530836856	1165462982	26974783	2049702836	6422183	2612963591	9248785	49052405	814381182	459136062	540850718	84979472	1339882324	59093833	390344460	552120319	84731223	850250619	137831288	259523083	503680233	203396545	37017541	805510788	40323969	235405756	148605543	135545026	139926686	25519088	391396328	25876566	106384315	280892746	160856276	76761176	106267265	17028310	9641091920	801820306	1670669277	1697883815	751959146	763406055	381845593	137081637	72557331	463046010	958067739	1145511336	2626677777	1674283268	4236355328	3644225336	342436138
SI	15509759748	27378266	383771365	721806339	1457409047	1556289059	1752063693	2591567138	2039134905	27378266	373324566	10446799	670210145	43898859	7697335	745220943	260461134	434426392	17300578	705624769	5687030	666998560	174057235	3921465	441443138	5474511	334912714	880007858	88628168	1597304	124525608	769003	794806458	746461347	654482427	268459699	2062596	266499871	390667	243120216	295905568	267079784	827619144	138395492	124163	3712923585	327423244	2829159067	2928350906	1336076887	1733309391	2069767805	294633950	135225435	514187440	702419923	1170106187	2454919589	2672764244	5633175505	1661222018	70528506
OM	15402602484	3440620	80655593	5767493617	851655058	1339270197	1424909268	1615326165	1744952039	3440620	2247284	78408309	11062011	1905587578	3850844028	9664494	739712175	65592225	36686164	1437832	631249899	127444451	398391056	180746959	18628981	771723410	119583699	151340732	189968640	173663806	8292652	911053274	129477153	93534714	289646323	165167654	18154395	4161387	1330607847	96302036	80619374	143606985	19611479	37986403	32056528	66066571	8023491276	4443880458	1179556992	968757066	452635283	130898167	85086352	25239041	863870549	1522630467	1160161992	1123395146	1063558704	1387584720	2812054658	4383864400
