2-gram	*/*	2/*	3/*	4/*	5/*	6/*	7/*	8/*	9/*	2/1:2	3/1:2	3/2:3	4/1:2	4/2:3	4/3:4	5/1:2	5/2:3	5/3:4	5/4:5	6/1:2	6/2:3	6/3:4	6/4:5	6/5:6	7/1:2	7/2:3	7/3:4	7/4:5	7/5:6	7/6:7	8/1:2	8/2:3	8/3:4	8/4:5	8/5:6	8/6:7	8/7:8	9/1:2	9/2:3	9/3:4	9/4:5	9/5:6	9/6:7	9/7:8	9/8:9	*/1:2	*/2:3	*/3:4	*/4:5	*/5:6	*/6:7	*/7:8	*/8:9	*/9:10	*/-9:-8	*/-8:-7	*/-7:-6	*/-6:-5	*/-5:-4	*/-4:-3	*/-3:-2	*/-2:-1
TT	4812693687	4219463	8059169	53084681	136102991	1706163870	1133025200	550689131	702873916	4219463	2547295	5511874	464184	11316605	41303892	0	18355864	78344310	39402817	0	128349251	1508268030	56657778	12888811	0	160663160	666447725	225285659	23562895	57065761	0	241164000	152755138	55994224	57092429	30519775	13163565	0	284856230	52249108	45869613	26924681	256503075	33465563	3005646	7230942	1030258569	2620908907	466861094	140063498	390977838	65053814	52970581	9887574	183038911	377664321	333294516	377086427	938214247	2113015834	269664881	179961210
OC	4692062395	2468126	48179014	132783629	671036139	649320793	853556538	567834528	637640977	2468126	8843653	39335361	1379383	109939892	21464354	115630628	351579042	197558640	6267829	90271763	496896618	54717535	6087776	1347101	84965656	381857520	347610674	7794458	31166868	161362	156145304	222453865	65942174	90657562	23883333	8752290	0	63138187	189920569	215701534	132522136	18350040	1877269	15420672	710570	669501193	1921050143	1152801224	638532488	158349367	62637793	59262982	18274549	5518415	240411727	654197537	788359427	719316469	1099185382	456155565	379727867	71867866
FA	4624241031	5712246	360981317	885786239	523519030	989678266	900835692	345184953	186382849	5712246	356933408	4047909	876512309	2837603	6436327	518596600	316244	1928196	2677990	924182960	0	60364754	4591634	538918	523259859	0	116746160	245735788	11790508	3303377	267434438	0	25346459	30648678	20709602	1045776	0	109973493	0	13486102	8231132	9493674	44954378	244070	0	3740840884	7201756	258970395	298887669	155584924	145497011	2512861	7083860	7533623	177461534	323222687	638755737	980542702	684262986	1251744525	379494416	22716767
EF	4588497002	3413774	12111969	339392266	234863915	1357566162	787532764	393694676	788796971	3413774	1958141	10153828	594490	318891326	19906450	1875821	42758608	15402559	174826927	305704852	826147659	106843763	18799074	100070814	210220210	368188617	24293466	155992266	27973878	864327	31330488	231086399	8050621	66666968	48639822	0	7920378	133783898	269435301	35126163	77484860	268918107	210800	1235710	2602132	796366904	2397964532	322507958	555455896	474948965	10714134	14946883	10522221	0	431222451	365954552	511857592	787212735	1190129092	364258794	385321667	323767160
CU	4585165906	6475950	150021114	90461728	286304983	312881477	674815556	737372739	676975456	6475950	148187673	1833441	88502394	1471829	487505	96813100	33938720	155553163	0	116351252	8914860	154540304	33075061	0	392897140	7698806	134558582	133927865	5561060	172103	209611901	5676225	367184594	116762332	27179408	10958279	0	113174899	14906191	118840127	220968685	63804701	139899597	4912493	468763	1278128873	84974670	1184257551	976309596	259642965	702584623	40482277	11858176	30247328	224521746	588665334	964451831	798594154	773518707	579551734	379277176	9437762
RN	4521640992	2275453	13626339	361048063	215940818	653564806	960910912	862234197	351688176	2275453	9743462	3882877	643917	8633228	351770918	473691	7935785	95639148	111892194	0	24082511	290378717	29497657	309605921	0	1717249	315149813	267594902	48778430	327670518	0	5805916	73108098	162250644	368869473	101445289	150754777	0	6418834	71233216	17111752	132693181	100792018	14967515	8471660	13136523	68018030	1233592947	619493698	1646444046	647276941	248432792	14191238	10625037	204051910	84627112	219820212	536320815	750055783	1107480263	310730621	1290263046
SC	4363410770	7363731	31610532	34895904	318293824	706279057	585066605	491904140	783959766	7363731	23692305	7918227	18656868	2767620	13471416	298789169	7740769	11763886	0	534251963	56843464	102893664	12150975	138991	391384243	31211761	153449187	2297719	6166275	557420	267461953	29374161	163495313	15737938	11939304	3895471	0	167063940	24934590	443625359	59631815	44735070	10136010	33474398	358584	1939213511	200627627	1555595507	248105894	172584745	118308825	86224829	28739982	8188302	436262675	656832503	957482715	924440838	628700973	164163221	94967189	30424753
GI	4275639800	2957426	13453439	408099382	747940764	493613731	431357041	698234086	478883174	2957426	11842825	1610614	404067404	957224	3074754	571340576	12662400	155162242	8775546	131407515	927012	236057375	124483517	738312	29783535	2639359	146358259	227997810	24578078	0	25357322	5381053	132315142	239800283	278903314	16306348	170624	7282915	11192206	175324456	31811265	138176850	77958988	37136494	0	1189741300	35893519	1100119563	771461196	468703729	208516123	165941485	106988291	154556145	173716506	181872461	298115621	327335883	1457456267	1381149326	401717616	17695792
DA	4259590348	21601853	558573244	835719074	535581659	494356041	307714188	534366820	418838687	21601853	543206434	15366810	789935814	22534515	23248745	307380273	34608429	165021334	28571623	249395535	2228313	34725940	108022046	99984207	107651694	26144158	24826836	51017735	49154104	48919661	161424939	11904293	31934330	56928800	185157709	80911286	6105463	79988971	2063939	8163742	43443323	93390989	136996986	49676010	5114727	2267991812	134953342	303048264	360478419	563318484	397618594	102881602	68522884	46747331	104142789	239125274	175893093	517223171	630869192	1268199999	1029995831	264010682
YO	4226720021	3037906	2343574127	1060112517	352938395	227678202	57524368	135441855	18319965	3037906	2342723791	850336	1052253536	4050478	3808503	309485417	8396574	22130888	12925516	13489772	3251523	192494428	10055613	8386866	37517145	5076885	7011502	3698050	4220786	0	68949500	2476862	2693543	474684	55441727	5080150	325389	6913136	1584361	990782	362387	5324353	3144946	0	0	3844649484	33919236	231052503	27818595	75311068	10473603	1151563	1533821	706915	16321997	72024378	42735419	22723538	328438394	1315429261	2388509622	29334516
CR	4214150542	8395540	40580791	79304550	523395163	612791019	418166821	819011634	795722517	8395540	32081128	8499663	65859447	13167306	277797	465240177	39622303	17960087	572596	316275236	188785168	105550132	1932546	247937	333173239	37338419	42851661	3341430	1462072	0	420102145	31509933	225249959	128171196	6639453	7338948	0	136977243	45145129	362772741	173011807	73244816	4110474	460307	0	1873080749	395060348	1051216058	528062567	212528689	97932660	44642658	10069734	209214	254808413	768449106	798584128	876087103	963497850	228865400	74402394	17993533
CL	4201617719	5641995	9537216	118544308	897311429	489781206	991795367	689407522	547986106	5641995	3918858	5618358	110018546	3199270	5326492	830052891	221921	67036617	0	362856939	4752882	34987995	87183390	0	540440611	5765172	261633655	52282510	131673419	0	218959586	6957486	287047556	41403000	85052646	49987248	0	129159211	4719069	272329043	58571101	7704727	54595620	20907335	0	2303821857	34520886	1044440608	386729582	245350512	120964163	43590043	17209090	2995549	218874972	286541334	927105811	725614485	1161846025	355463327	370883039	16586845
DU	4186093215	47314668	181684585	226976627	148433143	702351865	505075312	566026455	634497806	47314668	180229444	1455141	222207187	1634397	3135043	75002520	43774474	14928617	14727532	561619875	31151382	91328427	17894160	358021	43398457	5786746	162014350	279961847	13554034	359878	41173661	29706585	165612629	280315143	44640575	4418981	158881	14485191	226098994	106875898	163671598	27333618	94211411	848785	972311	1196361209	405414614	736944202	1018504203	99147209	371415381	322843452	24446384	9971357	58605236	451032680	534425771	937438956	811086905	979747947	246277832	68481475
GA	4175274057	5692713	131254391	398459909	837539298	419063300	792192121	463623395	356192075	5692713	126789504	4464887	377265431	4500944	16693534	133006098	328960534	365448126	10124540	192615406	6685559	158144249	58709246	2908840	149824377	413536192	121751587	80488170	24330632	2261163	97896112	281431	231927927	44197105	44363440	42229635	2727745	52351684	1443539	157542556	46162045	55090310	39298318	3030441	1273182	1160311003	763003312	1357992106	262185194	262554557	170156552	48965712	137761793	8690410	62668062	175861611	395154368	1101614893	431225851	1057431276	629155590	48520023
QU	4160167957	1079049	67463113	38901717	494944420	342207027	665508517	932328658	609632259	1079049	67258064	205049	37037134	1864583	0	377111231	113230907	4602282	0	110260201	109386987	54615550	67944289	0	304681852	102125399	185028340	50066510	23606416	0	322303732	126852969	333975790	120041729	8376628	20777810	0	222787153	116798626	94225970	90671475	15668390	12318007	57162638	0	1598696806	662950529	866906089	490506957	86714649	309359772	118614761	12042269	10690982	342885587	524009336	787685765	695364496	904052094	335497406	265484736	1284098
UE	4158448570	1012836	228829174	359435894	599732668	752599015	326240093	538936713	683335726	1012836	345314	228483860	427230	59408719	299599945	1152228	134752924	36709608	427117908	0	68605520	5074545	389555896	289363054	0	36062364	25549783	55058847	125960992	83608107	0	234834930	10549529	60874517	71949158	31866594	128861985	0	129526621	9860250	35567911	232813549	9516864	183478037	82572494	2937608	937660824	389988287	996093943	908791287	135273494	555822538	195714591	14905936	23565986	133388367	301844350	352721011	462418835	362071396	922358596	1565275371
FF	4125634219	16957840	306708289	22579948	207332947	767877459	654958168	416771101	929298935	16957840	1694731	305013558	117453	3238753	19223742	0	71521260	8909019	126902668	0	613704102	115567615	16750531	21855211	0	493418492	82599520	52690715	7950280	18299161	0	303239530	69858188	28715816	5614184	4363413	4979970	0	277986585	599833974	16244690	3485120	678237	5312960	25757369	18770024	2245025438	1397284764	307119049	81401515	24075335	12774644	36534304	2193532	213152660	593251616	924185513	580137110	728939539	248178913	59030450	540635453
BA	4122472992	6146223	222005970	904464946	781596773	498204032	571340432	526072050	248025884	6146223	215132593	6873377	878471154	2536306	23457486	695066233	4531020	73468121	8531399	319579062	4001792	59001734	112225016	3396428	341908960	13063301	59004011	143109293	11277551	2977316	201276876	1428203	16431767	212361064	79628339	12577520	2368281	121484737	26597338	21897274	30137041	18452981	19432195	8977345	1046973	2920173812	68511490	304576806	578304927	125340713	56130599	58408471	6615915	4086764	142175834	296767195	382614573	413971734	1016434640	1198716510	437628807	54975493
EY	4053144855	737590	181643560	2707318400	266630881	493705724	206661863	133907956	42977442	737590	82308670	99334890	182513132	13539805	2511265463	290173	12058373	2539107	251743228	2422408	134705639	7496020	5277493	343804164	6611677	11397184	4959121	846153	44372466	138475262	6519256	18268294	2707730	3805992	23476702	7444676	71685306	1018059	3690794	1414333	5762489	11712053	2881916	6892545	9605253	284712862	294834194	2530645931	269337400	431516437	151590472	79215020	9605253	1091217	3158408	11965925	27379526	29452767	158082510	229661576	162374762	3428338442
LS	3990203351	3457754	18670048	1179969750	858695716	594947427	523998088	234256003	349175075	3457754	4106586	14563462	308873	1135147128	44513749	180060	6089147	82174389	770252120	787866	6163462	63418013	23157376	501420710	325224	447021	16454208	9383663	17043486	480344486	0	3417000	10152335	9639853	13738890	102203	197205722	0	36721837	12428560	6855101	13691950	5355874	0	274121753	9166363	1202549057	238066017	822670914	549723183	514814932	199802402	275159998	29390955	1259502	44746369	22221478	26311340	68641753	100104107	1262106863	2462631465
VA	3946966167	8189060	78489392	149791536	430003757	404920351	798096885	594507594	593932733	8189060	69161484	9327908	107622696	13834342	28334498	339373087	29315118	47442496	13873056	317436677	4753604	42251328	24672901	15805841	370565089	15902731	106593428	219020126	79677858	6337653	187969322	20762916	118989344	74621959	64039790	125387028	2737235	141688681	171744864	88001409	85823329	46942600	46475194	11610046	1646610	1613137092	382405607	527223371	466627896	376212481	399980011	124341232	36755917	8694553	242320402	458246653	621194923	837663082	667023094	519150219	379333671	89786746
UM	3901923211	7580096	87088274	100177051	449459475	1090686868	621428694	547525821	301303549	7580096	3217174	83871100	1926276	71798684	26452091	859671	350741859	34320627	63537318	1923857	639426621	27173866	233911931	188250593	1521942	200042852	26009086	153771581	31680994	208402239	4374715	156422591	33290840	184769208	62960658	6512428	99195381	3617417	48266468	15330230	112156932	32908959	848388	3601251	84573904	25021148	1622756196	177273410	937598328	510082999	314936877	107269234	86315501	73740724	184346108	146311029	317272728	408058273	928577263	599288784	387524677	879366057
PP	3850125519	14542146	25961987	14812341	230990699	420422763	820431221	818185808	314768996	14542146	9147946	16814041	248552	5803792	8759997	0	155227918	72344798	3417983	0	180293926	231288985	8839852	0	0	301551285	327411119	175284264	15501786	682767	0	475292336	212142675	99500455	24789556	6460786	0	0	163112362	120070670	8766910	17865261	4773405	180388	0	23938644	2190636901	1102711563	312828718	132426847	40162855	16705166	9706561	20780559	353498408	257821273	628057247	547424567	646972496	606730076	135057145	44216934
