      1 1372.2   0.729       1       78.0 Puzzle 1
      1   57.3  17.467       1        4.0 Puzzle 128
      1   43.9  22.771       1        0.0 Puzzle 129
      1   39.5  25.343       1        2.0 Puzzle 130
      1  126.0   7.939       1       35.0 Puzzle 131
      1   59.5  16.819       1        3.0 Puzzle 132
      1   54.1  18.490       1        8.0 Puzzle 133
      1   43.8  22.857       1        7.0 Puzzle 134
      1   38.5  25.974       1        0.0 Puzzle 135
      1   41.8  23.928       1        2.0 Puzzle 136
      1   33.4  29.963       1        3.0 Puzzle 137
      1   36.9  27.119       1        5.0 Puzzle 138
      1   52.6  19.018       1        1.0 Puzzle 139
      1   37.6  26.607       1        1.0 Puzzle 140
      1   35.3  28.335       1        1.0 Puzzle 141
      1   50.1  19.967       1       20.0 Puzzle 142
      1   33.0  30.303       1        1.0 Puzzle 143
      1   68.1  14.688       1       25.0 Puzzle 144
      1   33.2  30.112       1        3.0 Puzzle 145
      1  172.2   5.807       1      130.0 Puzzle 146
      1   30.5  32.787       1        2.0 Puzzle 147
      1   82.4  12.133       1       25.0 Puzzle 148
      1   62.4  16.021       1       33.0 Puzzle 149
      1   40.1  24.948       1        9.0 Puzzle 150
      1   25.3  39.604       1        1.0 Puzzle 151
      1   31.8  31.413       1       11.0 Puzzle 152
      1   28.4  35.242       1        0.0 Puzzle 153
      1   22.4  44.693       1        0.0 Puzzle 154
      1   65.5  15.277       1       25.0 Puzzle 155
      1   59.8  16.713       1       22.0 Puzzle 156
      1   30.9  32.346       1        3.0 Puzzle 157
      1   27.4  36.530       1        0.0 Puzzle 158
      1   60.5  16.517       1       37.0 Puzzle 159
      1   27.7  36.091       1        0.0 Puzzle 160
      1   18.0  55.429       1        0.0 Puzzle 161
      1  163.4   6.121       1      177.0 Puzzle 162
      1   47.6  20.997       1        0.0 Puzzle 163
      1   46.8  21.371       1        0.0 Puzzle 164
      1   55.6  17.991       1        4.0 Puzzle 165
      1   85.7  11.668       1       26.0 Puzzle 166
      1   62.3  16.064       1       27.0 Puzzle 167
      1   48.2  20.762       1        2.0 Puzzle 168
      1   38.2  26.201       1        0.0 Puzzle 169
      1   44.5  22.493       1        0.0 Puzzle 170
      1   47.2  21.183       1        3.0 Puzzle 171
      1   62.3  16.043       1       19.0 Puzzle 172
      1   41.0  24.390       1        1.0 Puzzle 173
