date	title	hours	miles	feet
Sun, 3/25/2018	Dumbarton / Coyote Hills / Middle of the Bay	2:31:51	30.01	709
Tue, 2/14/2017	Morning Ride	2:22:16	29.92	463
Sun, 5/31/2015	Palo Alto, California	2:35:24	29.85	2,568
Tue, 11/1/2016	Morning Ride	2:15:55	29.78	515
Sun, 6/5/2016	Morning Ride	2:18:02	29.70	1,293
Sun, 5/26/2019	San Carlos / Bay Trail	2:17:51	29.55	620
Thu, 8/13/2015	Palo Alto, CA	2:13:58	29.51	778
Sun, 7/14/2013	Palo Alto, CA	2:23:07	29.34	739
Sun, 4/3/2016	Lunch Ride	2:03:38	29.31	810
Mon, 3/9/2015	Palo Alto Cycling	1:57:50	29.21	115
Fri, 2/23/2018	Morning Ride	2:08:28	29.21	166
Sat, 10/7/2017	Afternoon Ride	2:02:43	29.18	394
Sat, 1/17/2015	Palo Alto Cycling	2:08:38	29.06	1,587
Sat, 1/18/2014	Los Altos Hills	2:32:23	29.03	1,918
Sat, 6/20/2015	Palo Alto, CA	2:06:45	28.87	1,650
Sun, 11/3/2013	work	2:11:08	28.74	841
Wed, 8/16/2017	Lunch Ride	2:15:48	28.67	732
Sat, 1/9/2016	Morning Ride	2:07:35	28.54	1,289
Sat, 9/19/2015	Los Altos Hills	2:31:24	28.51	1,611
Wed, 8/12/2015	Palo Alto, CA	2:02:14	28.48	751
Sun, 7/23/2017	San Francisco	2:57:35	28.43	2,562
Mon, 8/24/2015	Morning Ride	2:10:31	28.35	427
Wed, 6/26/2013	work	2:01:29	28.33	627
Sun, 4/28/2019	Arastradsero	2:29:59	28.21	1,355
Sun, 7/19/2015	Palo Alto, CA	2:00:27	28.17	1,037
Fri, 12/28/2018	Lunch Ride with Juliet	2:17:33	28.10	331
Tue, 5/17/2016	Morning Ride	2:06:55	28.09	551
Wed, 10/5/2016	Morning Ride	2:10:47	28.05	276
Wed, 6/22/2016	Morning Ride	2:00:40	27.99	374
Mon, 3/16/2015	Commute	2:06:51	27.97	70
Sun, 2/25/2018	Lunch Ride	2:10:54	27.88	958
Sat, 10/27/2018	Morning Ride	2:29:13	27.88	1,581
Mon, 6/20/2016	Morning Ride	1:52:13	27.77	531
Sun, 12/2/2018	Lunch Ride	2:34:14	27.72	1,506
Mon, 3/19/2018	Morning Ride	2:06:35	27.62	860
Mon, 12/17/2018	Morning Ride	2:16:12	27.60	246
Sat, 10/14/2017	Afternoon Ride	2:04:53	27.52	387
Sat, 10/18/2014	Bikepacking Monte Bello	2:54:20	27.44	2,992
Sun, 4/15/2018	Morning Ride	2:17:16	27.43	1,667
Mon, 4/10/2017	Morning Ride	2:03:19	27.40	282
Tue, 5/7/2019	Lunch Ride	2:07:55	27.37	820
Sun, 11/25/2018	Afternoon Ride	1:56:26	27.34	203
Wed, 4/29/2015	Commute	2:03:14	27.33	75
Tue, 1/17/2017	Morning Ride	2:07:17	27.30	535
Tue, 9/30/2014	Palo Alto, CA	2:07:33	27.28	636
Sat, 9/17/2016	TourDeCoop.org	2:04:27	27.24	479
Sat, 1/12/2019	Lunch Ride	1:58:47	27.24	1,079
Mon, 3/30/2015	Woodside Loop	1:47:46	27.22	1,081
Tue, 11/17/2015	Afternoon Ride	2:04:48	27.12	830
Sun, 8/13/2017	Woodside Loop (Battery ran down)	2:00:00	27.00	1,000
Sat, 1/31/2015	Alpine Rd	2:29:26	26.98	2,362
Sun, 2/28/2016	Woodside Loop	1:43:34	26.93	843
Sun, 4/1/2018	Lunch Ride	2:30:35	26.92	1,831
Wed, 5/3/2017	Palo Alto Road Cycling	2:06:05	26.86	1,411
Fri, 9/9/2016	Morning Ride	1:56:44	26.85	1,086
Sun, 9/23/2018	Morning Ride	1:57:48	26.83	512
Sat, 10/4/2014	Woodside Loop	1:52:09	26.71	1,213
Thu, 5/7/2015	Commute	1:55:36	26.58	68
Sun, 3/24/2019	OLH / WOLH	2:42:45	26.57	2,267
Thu, 8/31/2017	Morning Ride	2:00:02	26.54	817
Sun, 4/24/2016	Afternoon Ride	1:50:08	26.53	935
Sun, 12/17/2017	Lunch Ride	1:50:51	26.53	217
Tue, 7/4/2017	Lunch Ride	1:53:04	26.50	459
Tue, 5/8/2018	Afternoon Ride	2:34:11	26.50	1,791
Tue, 5/26/2015	Palo Alto, CA	2:01:47	26.50	591
Thu, 8/4/2016	Afternoon Ride	1:55:47	26.49	659
Wed, 6/8/2016	Lunch Ride	1:48:19	26.48	597
Sun, 9/9/2018	Lunch Ride	2:00:49	26.46	479
Sat, 5/21/2016	Maker Faire	1:57:14	26.44	207
Wed, 4/1/2015	Commute	1:55:15	26.44	71
Wed, 6/29/2016	Morning Ride	1:49:33	26.39	561
Sat, 9/9/2017	Lunch Ride	1:59:01	26.38	1,112
Fri, 6/3/2016	Morning Ride	1:56:57	26.38	502
Fri, 3/31/2017	Morning Ride	2:01:41	26.36	495
Sat, 12/13/2014	Westridge (up the back way; after the rain)	2:01:01	26.35	1,495
Sun, 4/14/2019	Huddart - Paul Hopkins	2:08:57	26.34	1,601
Sat, 6/29/2013	Untitled	1:48:50	26.33	1,091
Sat, 4/25/2015	Woodside	1:54:30	26.28	1,220
Tue, 1/31/2017	Morning Ride	2:01:18	26.27	384
Tue, 6/28/2016	Morning Ride	1:55:31	26.27	571
Sat, 5/19/2018	Morning Ride	2:00:24	26.25	958
Thu, 6/30/2016	Morning Ride	1:52:16	26.24	499
Sun, 2/19/2017	Afternoon Ride	1:56:46	26.23	1,138
Thu, 8/18/2016	Morning Ride	1:58:06	26.23	712
Sun, 4/20/2014	Bay Trail / Ponderosa Park	1:52:52	26.23	102
Sun, 5/10/2015	Arastadero	1:48:58	26.22	1,148
Thu, 5/19/2016	Morning Ride	1:52:56	26.14	938
Mon, 12/31/2018	Morning Ride	2:00:24	26.11	545
Fri, 12/15/2017	Afternoon Ride	1:51:36	26.07	226
Sun, 1/18/2015	Woodside	1:38:16	26.02	1,257
Mon, 10/3/2016	Morning Ride	1:54:45	26.01	646
Tue, 7/14/2015	Mountain View, California	2:02:36	25.99	502
Fri, 12/18/2015	Lunch Ride	1:58:57	25.93	909
Tue, 6/13/2017	Morning Ride	1:55:30	25.89	289
Mon, 8/4/2014	To the Sea	2:17:11	25.87	2,080
Wed, 9/25/2013	work and with kris	2:07:40	25.81	593
Sun, 9/13/2015	Afternoon Ride	1:49:31	25.78	1,152
Sun, 3/3/2019	Afternoon Ride	2:00:06	25.73	390
Thu, 1/26/2017	Morning Ride	1:56:09	25.67	259
Sun, 5/6/2018	Morning Ride	1:55:05	25.67	1,148
Sat, 7/29/2017	Lunch Ride	1:53:50	25.65	988
Wed, 8/20/2014	Palo Alto, CA	1:49:35	25.61	497
Sat, 4/19/2014	Lunch Ride	1:49:37	25.60	1,111
Mon, 9/3/2018	Afternoon Ride	1:59:08	25.54	331
Mon, 6/2/2014	Work	1:59:33	25.51	627
Fri, 12/11/2015	Afternoon Ride	2:12:40	25.44	1,719
Fri, 2/9/2018	Morning Ride	1:56:11	25.41	318
Sun, 8/26/2018	Afternoon Ride	1:49:16	25.37	377
Sun, 7/9/2017	Afternoon Ride	1:50:30	25.36	682
Mon, 6/26/2017	Morning Ride	1:52:26	25.34	226
Fri, 9/14/2018	Lunch Ride	1:50:05	25.34	541
Fri, 3/1/2019	Morning Ride	2:00:23	25.34	121
Sun, 1/13/2019	Lunch Ride	1:51:40	25.33	715
Wed, 4/12/2017	Morning Ride	1:59:22	25.33	686
Wed, 6/14/2017	Morning Ride	1:51:32	25.33	308
Sat, 11/28/2015	Lunch Ride	1:43:56	25.31	1,122
Mon, 11/27/2017	Morning Ride	1:55:39	25.31	184
Fri, 11/28/2014	Palo Alto, CA	1:45:13	25.30	1,112
Fri, 4/13/2018	Morning Ride	1:53:39	25.28	344
Fri, 9/15/2017	Morning Ride	1:56:55	25.28	384
Tue, 12/31/2013	Woodside Loop - Last Ride of the Year	1:45:28	25.27	1,207
Sun, 10/14/2018	Lunch Ride	2:13:13	25.23	1,421
Sat, 11/22/2014	Atherton to Woodside	1:43:10	25.21	1,095
Sat, 6/4/2016	Morning Ride	1:57:23	25.19	922
Mon, 8/8/2016	Morning Ride	1:52:38	25.17	423
Fri, 11/6/2015	Morning Ride	1:51:45	25.15	538
Mon, 12/18/2017	Afternoon Ride	1:52:56	25.15	741
Fri, 6/24/2016	Foothill Expway	1:35:25	25.11	623
Sat, 6/25/2016	Afternoon Ride	1:44:43	25.10	568
Sat, 1/25/2014	Woodside	1:33:38	25.08	1,243
Tue, 4/29/2014	Woodside	1:46:03	25.08	886
Thu, 4/13/2017	Morning Ride	2:06:13	25.06	266
Sun, 6/12/2016	Morning Ride	1:49:25	25.04	387
Thu, 6/8/2017	Morning Ride	1:56:19	25.02	285
Thu, 10/13/2016	Morning Ride	1:47:30	25.02	253
Sun, 1/19/2014	Palo Alto, CA	1:36:55	25.01	1,201
Mon, 9/5/2016	Afternoon Ride	1:42:56	25.00	902
Sat, 11/8/2014	Atherton / Woodside	1:40:51	25.00	972
Sat, 4/11/2015	Woodside	1:32:24	24.73	1,035
Sat, 6/1/2013	Woodside Loop	1:41:20	24.45	1,125
Sun, 6/16/2013	Woodside Loop	1:38:19	24.52	1,137
Sun, 6/23/2013	Climb	2:16:29	24.30	2,001
Sat, 7/13/2013	Doug's Event	1:51:55	21.35	1,677
Sun, 8/4/2013	Kris's first trike ride	1:51:21	20.96	988
Sun, 11/24/2013	Alpine Rd	1:42:36	21.02	1,289
Fri, 11/29/2013	Woodside Loop	1:33:36	22.75	1,011
#### 2012 Rides
Thu, 1/5/2012	Tekapo Lake to Omarama New Zealand	5:27:34	79.42	2,145
Fri, 1/6/2012	Omarama to Wanaka New Zealand	4:28:51	70.35	3,262
Sat, 1/7/2012	Wanaka to Queenstown New Zealand	3:23:12	45.18	3,488
Sun, 1/8/2012	Queenstown to Clyde New Zealand	3:59:59	60.02	3,522
Fri, 1/9/2012	Otago Rail Trail Century	7:52:17	102.41	2,286
Thu, 6/14/2012	Coyote Creek Century with Juliet	8:08:15	100.07	1,513
