date	title	hours	miles	feet
Sun, 7/5/2020	Afternoon Ride	5:16:20	66.07	1,286
Fri, 7/3/2020	Sawyer Camp Trail	5:18:23	72.12	1,890
Sun, 6/28/2020	Saratoga	5:31:44	71.01	1,063
Sun, 6/21/2020	Sawyer Camp Trail	6:35:20	79.78	1,738
Sun, 6/13/2020	Canada Rd	5:39:40	70.73	1,841
Fri, 2/28/2020	Sawyer Camp Trail	6:24:49	84.43	3,448
Wed, 2/12/2020	Bay Trail	5:25:09	66.02	572
Fri, 2/7/2020	Bay Trail / Cargill	6:07:23	74.04	1,814
Sun, 1/26/2020	Los Gatos / Bay	5:18:15	67.98	1,286
Fri, 1/31/2020	Bay Trail / Guadalupe / Geocaching	5:21:39	69.39	1,125
Sat, 11/16/2019	Canada / Crystal Dam / Sawyer Camp / Bay Trail	5:18:46	66.08	1,972
Fri, 9/6/2019	San Mateo / Bay Trail	4:59:29	68.01	1,158
Sat, 8/31/2019	San Gregorio via OLH	5:13:21	65.31	4,026
Sat, 8/24/2019	Tour de Fox	4:43:39	68.66	2,097
Sun, 8/18/2019	Afternoon Ride	2:06:52	27.14	331
Fri, 7/5/2019	Crystal Springs	4:30:55	64.05	1,965
Sat, 6/15/2019	Morning Ride	2:29:38	29.98	1,785
Sat, 6/8/2019	Morning Ride	2:53:08	34.42	1,824
Sun, 6/2/2019	The Sequoia	6:40:43	77.51	6,467
##### 2013 to 2018: rides over 25 miles, longest first
Sat, 5/13/2017	Morgan Hill iCare Classic	7:27:21	100.05	4,596
Sat, 5/12/2018	ICare Classic, Morgan Hill	6:47:46	91.29	4,160
Sat, 5/6/2017	Wine Country Century	7:15:22	89.49	5,246
Fri, 8/10/2018	Bike Ride Northwest Day 6	6:14:18	84.70	4,380
Sat, 10/1/2016	Half Moon Bay overnight campout	7:30:38	80.07	6,039
Tue, 8/7/2018	Bike Ride Northwest Day 3	6:10:39	78.96	5,092
Sun, 6/15/2014	Sierra to the Sea Day 1	5:34:06	78.53	4,777
Sat, 4/23/2016	Wildflower Century	5:36:10	77.22	4,193
Mon, 6/16/2014	Sierra to the Sea Day 2	5:35:06	74.68	2,451
Fri, 8/12/2016	Half Moon Bay / Harvey's 73/7300 Birthday Ride	6:44:14	74.35	6,610
Wed, 10/14/2015	Half Moon Bay	6:07:55	72.97	7,644
Fri, 1/27/2017	Morning Ride	5:16:50	70.07	2,539
Sat, 8/15/2015	Coyote Creek Trail with Juliet	5:49:01	69.30	1,745
Tue, 6/17/2014	Sierra to the Sea Day 3	4:48:41	68.64	825
Thu, 8/9/2018	Bike Ride Northwest Day 5	4:58:07	68.41	3,862
Sat, 4/15/2017	Pescadero	6:13:12	68.34	6,130
Sun, 6/4/2017	Sequoia Challenge	6:17:25	66.52	7,520
Wed, 8/5/2015	Palo Alto, CA	4:56:15	66.33	2,054
Fri, 8/28/2015	Pescadaro via OLH	5:18:51	66.01	6,137
Fri, 11/20/2015	Los Gatos	5:29:40	65.73	5,380
Sun, 6/3/2018	The Sequoia	5:58:15	64.92	6,677
Thu, 6/19/2014	Sierra to the Sea Day 5	4:32:55	63.69	2,584
Mon, 8/3/2015	Palo Alto, CA	4:45:09	63.61	1,877
Fri, 6/10/2016	Morning Ride	4:21:38	62.84	3,196
Sun, 6/2/2013	Woodside Loop and Baylands	4:27:42	62.14	2,169
Wed, 6/12/2013	ride	4:39:46	61.39	2,207
Sat, 4/18/2015	Tunitas + Lobitos Creeks	5:14:38	61.27	6,611
Sat, 11/11/2017	Los Gatos / Bay Trail	4:26:24	60.74	1,316
Sun, 4/17/2016	La Honda / Skyline	5:10:41	60.35	4,551
Mon, 7/3/2017	Los Gatos / Bay Trail	4:25:41	60.28	1,329
Sat, 4/16/2016	OLH / San Gregorio / Tunitas	4:57:40	60.12	4,744
Sun, 1/29/2017	Los Gatos / Guadalupe / San Tomas / Bay Trails	4:33:38	60.11	1,447
Mon, 11/26/2018	Lunch Ride Los Gatos	4:21:35	60.03	1,070
Sat, 10/31/2015	Saratoga Ramble	5:01:57	59.11	3,528
Sat, 8/18/2018	Tour de Menlo	4:03:48	58.81	2,467
Sat, 4/26/2014	OLH / Tunitas Creek	5:15:26	58.69	6,742
Sat, 6/15/2013	Palo Alto to Santa Cruz	4:27:54	58.42	4,431
Sat, 10/11/2014	OLH / Tunitas	5:05:23	58.29	6,044
Sat, 7/9/2016	Santa Cruz	3:50:23	58.23	4,042
Wed, 6/18/2014	Sierra to the Sea Day 4	4:57:53	57.64	5,561
Tue, 7/7/2015	Palo Alto, CA	4:13:20	57.60	1,280
Mon, 8/6/2018	Bike Ride Northwest Day 2	4:35:48	57.58	4,514
Su, 1/26/2020	Los Gatos	4:24:58	57.05	1,086
Fri, 6/20/2014	Sierra to the Sea Day 6	4:33:39	56.91	4,453
